Neurons,% Error,number of patterns
101.0,0.0,1637.0
101.0,0.0,1657.0
101.0,0.0,1663.0
101.0,0.0,1667.0
101.0,0.0,1669.0
101.0,0.0,1693.0
101.0,0.0,1697.0
101.0,0.0,1699.0
101.0,0.0,1709.0
101.0,0.0,1721.0
101.0,0.0,1723.0
101.0,0.0,1733.0
101.0,0.0,1741.0
101.0,0.0,1747.0
101.0,0.0,1753.0
101.0,0.0,1759.0
101.0,0.0,1777.0
101.0,0.0,1783.0
101.0,0.0,1787.0
101.0,0.0,1789.0
101.0,0.0,1801.0
101.0,0.0,1811.0
101.0,0.0,1823.0
101.0,0.0,1831.0
101.0,0.0,1847.0
101.0,0.0,1861.0
101.0,0.0,1867.0
101.0,0.0,1871.0
101.0,0.0,1873.0
101.0,0.0,1877.0
101.0,0.0,1879.0
101.0,0.0,1889.0
101.0,0.0,1901.0
101.0,0.0,1907.0
101.0,0.0,1913.0
101.0,0.0,1931.0
101.0,0.0,1933.0
101.0,0.0,1949.0
101.0,0.0,1951.0
101.0,0.0,1973.0
101.0,0.0,1979.0
101.0,0.0,1987.0
101.0,0.0,1993.0
101.0,0.0,1997.0
101.0,0.0,1999.0
101.0,0.0,2003.0
101.0,0.0,2011.0
101.0,0.0,2017.0
101.0,0.0,2027.0
101.0,0.0,2029.0
101.0,0.0,2039.0
101.0,0.0,2053.0
101.0,0.0,2063.0
101.0,0.0,2069.0
101.0,0.0,2081.0
101.0,0.0,2083.0
101.0,0.0,2087.0
101.0,0.0,2089.0
101.0,0.0,2099.0
101.0,0.0,2111.0
101.0,0.0,2113.0
101.0,0.0,2129.0
101.0,0.0,2131.0
101.0,0.0,2137.0
101.0,0.0,2141.0
101.0,0.0,2143.0
101.0,0.0,2153.0
101.0,0.0,2161.0
101.0,0.0,2179.0
101.0,0.0,2203.0
101.0,0.0,2207.0
101.0,0.0,2213.0
101.0,0.0,2221.0
101.0,0.0,2237.0
101.0,0.0,2239.0
101.0,0.0,2243.0
101.0,0.0,2251.0
101.0,0.0,2267.0
101.0,0.0,2269.0
101.0,0.0,2273.0
101.0,0.0,2281.0
101.0,0.0,2287.0
101.0,0.0,2293.0
101.0,0.0,2297.0
101.0,0.0,2309.0
101.0,0.0,2311.0
101.0,0.0,2333.0
101.0,0.0,2339.0
101.0,0.0,2341.0
101.0,0.0,2347.0
101.0,0.0,2351.0
101.0,0.0,2357.0
101.0,0.0,2371.0
101.0,0.0,2377.0
101.0,0.0,2381.0
101.0,0.0,2383.0
101.0,0.0,2389.0
101.0,0.0,2393.0
101.0,0.0,2399.0
101.0,0.0,2411.0
101.0,0.0,2417.0
101.0,0.0,2423.0
101.0,0.0,2437.0
101.0,0.0,2441.0
101.0,0.0,2447.0
101.0,0.0,2459.0
101.0,0.0,2467.0
101.0,0.0,2473.0
101.0,0.0,2477.0
101.0,0.0,2503.0
101.0,0.0,2521.0
101.0,0.0,2531.0
101.0,0.0,2539.0
101.0,0.0,2543.0
101.0,0.0,2549.0
101.0,0.0,2551.0
101.0,0.0,2557.0
101.0,0.0,2579.0
101.0,0.0,2591.0
101.0,0.0,2593.0
101.0,0.0,2609.0
101.0,0.0,2617.0
101.0,0.0,2621.0
101.0,0.0,2633.0
101.0,0.0,2647.0
101.0,0.0,2657.0
101.0,0.0,2659.0
101.0,0.0,2663.0
101.0,0.0,2671.0
101.0,0.0,2677.0
101.0,0.0,2683.0
101.0,0.0,2687.0
101.0,0.0,2689.0
101.0,0.0,2693.0
101.0,0.0,2699.0
101.0,0.0,2707.0
101.0,0.0,2711.0
101.0,0.0,2713.0
101.0,0.0,2719.0
101.0,0.0,2729.0
101.0,0.0,2731.0
101.0,0.0,2741.0
101.0,0.0,2749.0
101.0,0.0,2753.0
101.0,0.0,2767.0
101.0,0.0,2777.0
101.0,0.0,2789.0
101.0,0.0,2791.0
101.0,0.0,2797.0
101.0,0.0,2801.0
101.0,0.0,2803.0
101.0,0.0,2819.0
101.0,0.0,2833.0
101.0,0.0,2837.0
101.0,0.0,2843.0
101.0,0.0,2851.0
101.0,0.0,2857.0
101.0,0.0,2861.0
101.0,0.0,2879.0
101.0,0.0,2887.0
101.0,0.0,2897.0
101.0,0.0,2903.0
101.0,0.0,2909.0
101.0,0.0,2917.0
101.0,0.0,2927.0
101.0,0.0,2939.0
101.0,0.0,2953.0
101.0,0.0,2957.0
101.0,0.0,2963.0
101.0,0.0,2969.0
101.0,0.0,2971.0
101.0,0.0,2999.0
101.0,0.0,3001.0
101.0,0.0,3011.0
101.0,0.0,3019.0
101.0,0.0,3023.0
101.0,0.0,3037.0
101.0,0.0,3041.0
101.0,0.0,3049.0
101.0,0.0,3061.0
101.0,0.0,3067.0
101.0,0.0,3079.0
101.0,0.0,3083.0
101.0,0.0,3089.0
101.0,0.0,3109.0
101.0,0.0,3119.0
101.0,0.0,3121.0
101.0,0.0,3137.0
101.0,0.0,3163.0
101.0,0.0,3167.0
101.0,0.0,3169.0
101.0,0.0,3181.0
101.0,0.0,3187.0
101.0,0.0,3191.0
101.0,0.0,3203.0
101.0,0.0,3209.0
101.0,0.0,3217.0
101.0,0.0,3221.0
101.0,0.0,3229.0
101.0,0.0,3251.0
101.0,0.0,3253.0
101.0,0.0,3257.0
101.0,0.0,3259.0
101.0,0.0,3271.0
101.0,0.0,3299.0
101.0,0.0,3301.0
101.0,0.0,3307.0
101.0,0.0,3313.0
101.0,0.0,3319.0
101.0,0.0,3323.0
101.0,0.0,3329.0
101.0,0.0,3331.0
101.0,0.0,3343.0
101.0,0.0,3347.0
101.0,0.0,3359.0
101.0,0.0,3361.0
101.0,0.0,3371.0
101.0,0.0,3373.0
101.0,0.0,3389.0
101.0,0.0,3391.0
101.0,0.0,3407.0
101.0,0.0,3413.0
101.0,0.0,3433.0
101.0,0.0,3449.0
101.0,0.0,3457.0
101.0,0.0,3461.0
101.0,0.0,3463.0
101.0,0.0,3467.0
101.0,0.0,3469.0
101.0,0.0,3491.0
101.0,0.0,3499.0
101.0,0.0,3511.0
101.0,0.0,3517.0
101.0,0.0,3527.0
101.0,0.1,3529.0
101.0,0.0,3533.0
101.0,0.0,3539.0
101.0,0.0,3541.0
101.0,0.0,3547.0
101.0,0.0,3557.0
101.0,0.0,3559.0
101.0,0.0,3571.0
101.0,0.0,3581.0
101.0,0.0,3583.0
101.0,0.0,3593.0
101.0,0.0,3607.0
101.0,0.0,3613.0
101.0,0.0,3617.0
101.0,0.0,3623.0
101.0,0.0,3631.0
101.0,0.0,3637.0
101.0,0.0,3643.0
101.0,0.0,3659.0
101.0,0.0,3671.0
101.0,0.0,3673.0
101.0,0.0,3677.0
101.0,0.0,3691.0
101.0,0.0,3697.0
101.0,0.0,3701.0
101.0,0.0,3709.0
101.0,0.0,3719.0
101.0,0.0,3727.0
101.0,0.0,3733.0
101.0,0.0,3739.0
101.0,0.0,3761.0
101.0,0.0,3767.0
101.0,0.0,3769.0
101.0,0.0,3779.0
101.0,0.0,3793.0
101.0,0.0,3797.0
101.0,0.0,3803.0
101.0,0.0,3821.0
