Neurons,% Error,number of patterns
101.0,0.0,3.0
101.0,0.0,5.0
101.0,0.0,7.0
101.0,0.11,11.0
101.0,0.2,13.0
101.0,0.98,17.0
101.0,1.36,19.0
101.0,2.12,23.0
101.0,4.39,29.0
101.0,5.48,31.0
101.0,7.24,37.0
101.0,8.94,41.0
101.0,10.27,43.0
101.0,10.61,47.0
101.0,12.03,53.0
101.0,12.5,59.0
101.0,13.99,61.0
101.0,14.63,67.0
101.0,14.98,71.0
101.0,15.61,73.0
101.0,16.64,79.0
101.0,16.84,83.0
101.0,17.2,89.0
101.0,18.3,97.0
